fname_std,bni_std,N
ARLES,0.327944222718775,79
ARLESS,0,49
ARLESTER,0.997062565629825,48
ARLETT,0,11
ARLEY,0.092721876842723,645
ARLICE,0.332473425825913,31
ARLIE,0.104492490798142,1761
ARLIN,0.128630761814959,649
ARLINDO,0.128454768836873,50
ARLINE,0.860923164065995,13
ARLING,0.207994512773364,57
ARLINGTON,0.682449135992377,375
ARLIS,0.196284650225147,428
ARLISS,0.445197252092511,120
ARLO,0.0400727014037405,870
ARLOE,0,11
ARLON,0.110729258354754,295
ARLOND,0,12
ARLOS,0,41
ARLOW,0.194024641778309,62
ARLTON,0.382345074854529,38
ARLUS,0.179553104043205,34
ARLY,0,14
ARLYN,0.0243803029638065,290
ARLYNN,0,27
ARLYS,0,11
ARLYSS,0,11
ARMAN,0.301267611521483,71
ARMAND,0.177791646752395,4575
ARMANDO,0.123585695361547,4856
ARMAS,0,70
ARMEL,0.424273847941131,54
ARMEN,0.123336056829254,157
ARMENAK,0,39
ARMENIO,0,30
ARMER,0.679909068789545,22
ARMIE,0.893906467760737,13
ARMIN,0.0276469139829838,510
ARMINDO,0,58
ARMINE,0,18
ARMISTEAD,0.601843869986814,52
ARMISTICE,0.800487291111422,14
ARMON,0.659221726028883,213
ARMONDO,0.0837603302374338,80
ARMOR,0.474444249107363,27
ARMOUR,0.655860777102771,91
ARMSTEAD,0.968385608153985,152
ARMSTER,0.981259148001048,33
ARMSTRONG,0.897641131223275,31
ARMUND,0,11
ARMY,0.935249781443809,12
ARN,0,11
ARNA,0.49055771331857,17
ARNALDO,0.219033897701334,321
ARNAUD,0.194024641778309,31
ARNDT,0,11
ARNEL,0.437491802748016,72
ARNELL,0.899550561640494,112
ARNER,0.909997271911603,12
ARNET,0.66837307969045,55
ARNETT,0.882817835534241,284
ARNETTE,0.952062394569492,45
ARNEY,0.357135209581301,42
ARNIM,0.739393788441135,39
ARNIS,0,18
ARNOL,0.231310803286126,25
ARNOLD,0.306979244073616,26527
ARNOLDO,0.085749367507495,234
ARNOLDS,0,26
ARNON,0,19
ARNOT,0.52630748514952,15
ARNOTT,0.706514832391203,20
ARNULF,0,15
ARNULFO,0.0648164890798198,526
AROL,0.2429845270953,47
AROLD,0,19
AROLDO,0,14
ARPAD,0,129
ARQUELIO,0,19
ARQUIMEDES,0,15
ARREL,0.643556715548376,15
ARREN,0.324992692762756,16
ARRIE,0.81599212921926,92
ARRIGO,0.255899169131008,22
ARRINGTON,0.975442585460451,13
ARRIS,0.695180107372836,25
ARRY,0.396333493971774,12
ARSEN,0,77
ARSENE,0.542789228395178,85
ARSENIO,0.301118072821955,373
ARSHAG,0,11
ARSHAK,0,31
ARSHAM,0,12
ARSHAVIR,0,19
ARSON,0,16
ARTASHES,0,12
ARTE,0.821294750211181,18
ARTEE,1,21
ARTELL,0.560336621481903,20
ARTEM,0,11
ARTEMAS,0.800942556693046,109
ARTEMIO,0.22715341340795,179
ARTH,0.715261441729119,93
ARTHA,0.935249781443809,15
ARTHEL,0.904252435249039,30
ARTHELL,0.850781111630736,34
ARTHRU,0.706514832391203,12
ARTHUR,0.524069028768401,125352
ARTICE,0.939304459379517,66
ARTIES,0.973053018825226,12
ARTIMUS,0.85937097450719,24
ARTIN,0.175197342946232,70
ARTINE,0,23
ARTIS,0.943516477227924,868
ARTIST,0.853654375321043,47
ARTO,0.878374819882183,26
ARTURO,0.15781044391856,2847
ARTURS,0,31
ARUTYUN,0,62
ARVA,0.24714209125273,23
ARVAL,0.310997647139251,51
ARVARD,0,14
ARVE,0.419346727980343,22
ARVED,0,13
ARVEL,0.147471705512697,684
ARVELL,0.885397863882441,89
ARVELLE,0.896548634746419,11
ARVEN,0.21738563737207,27
ARVENE,0.340306658160058,15
ARVEST,0.706514832391203,16
ARVESTER,0.986777234338734,34
ARVEY,0.260514625058619,43
ARVI,0,34
ARVID,0.0385332691154061,906
ARVIDS,0,60
ARVIE,0.420976336562127,164
ARVIL,0.0729494869336318,835
ARVILE,0,13
ARVILL,0,26
ARVILLE,0.220034906263163,266
ARVIN,0.32188873210153,681
ARVINE,0.400731828200576,59
ARVIS,0.509432359585989,175
ARVLE,0,70
ARVO,0,193
ARVOL,0,29
ARVON,0.29815816721813,36
ARVY,0.286336805547632,19
ARWIN,0.175197342946232,35
ARWOOD,0,21
ARY,0.570882680646204,45
ARZA,0.143801208534927,44
ARZELL,0.981872518919678,51
ARZIE,0.788829402887639,44
ARZO,0.796413072407058,37
ASA,0.472025073212226,1280
ASAD,0,11
ASAEL,0,16
ASAHEL,0.275417081428787,20
ASATUR,0,13
ASBEL,0,12
ASBJORN,0,36
ASBURY,0.902922394934054,302
ASCENCION,0.0431879923067995,161
ASCENSION,0.214162433593879,55
ASDRUBAL,0,16
ASENCION,0,72
ASENSION,0,11
ASGHAR,0,14
ASHBY,0.637872580606055,255
ASHEL,0.419346727980343,11
ASHER,0.14553996870208,217
ASHFORD,0.744867011277343,66
ASHLAND,0.474444249107363,18
ASHLEY,0.629812285369693,771
ASHOD,0,16
ASHOT,0,32
ASHRAF,0.419346727980343,11
ASHTON,0.734728348416894,386
ASIA,0.976147634345993,20
ASIE,0.915490380698372,40
ASIM,0.658220354616656,19
ASKEW,0.848876323940189,16
ASSAD,0.546210231151937,28
ASTER,0.660369887817418,66
ASTERIO,0,20
ASTLEY,0.97648519205406,27
ASTON,0.985459942759521,135
ASTOR,0.594374725683557,166
ASUNCION,0.343000409186111,89
ASWELL,0.459355685227577,19
ATANACIO,0.125116661798221,103
